0: 11;10007;1;;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;1
OVERFLOW: 22;34000;1;;4;2;0;2;2;3;0;;;0;0;0;1;0;0;0;0;0;0;0
OVERFLOW: 33;34001;1;;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0
OVERFLOW: 44;80700;1;;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0
OVERFLOW: 55;80701;1;;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0
OVERFLOW: 66;83000;1;;14;10;1;2;4;6;0;;;0;0;7;7;3;3;3;4;0;0;0
OVERFLOW: 77;83001;1;;2;3;0;0;0;0;0;;;0;0;1;1;1;1;0;1;0;0;0
OVERFLOW: 88;10007;2;;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0
OVERFLOW: 99;34000;2;;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0

Base Capacity: 11; Total Capacity: 19;  Load Factor: 0.473684
Data lines read: 9; Valid NVRA records read: 9; NVRA records in memory: 9
