record_id,source_id,county_code,parent_source,apps_received,new_registrations,name_changes,address_changes,party_changes,regis_updates,rej_apps,county_desc,description,rej_dupes,nonrej_dupes,apps_received_prior,new_registrations_prior,name_changes_prior,address_changes_prior,party_changes_prior,regis_updates_prior,rej_apps_prior,rej_dupes_prior,nonrej_dupes_prior
0,6217,7605,s6598,14026,25612,24331,5456,5600,23025,25818,s20406,s16444,26403,9999,38331,13193,7852,11943,19782,27053,11103,14369,48667
1,272,15189,s47814,43979,9186,6046,43394,45145,11772,18373,s2156,s33940,17483,9707,43179,48687,41415,3662,38885,20731,48903,26150,8042
2,1302,41891,s36810,43058,44330,11276,490,12325,14750,28547,s44278,s8453,6102,23266,12729,18271,32099,42411,43671,5055,5319,22223,23245
3,23974,5144,s37803,3777,42269,28465,16165,41851,18513,6497,s32450,s4846,42941,47222,23950,32766,49023,29665,47300,42626,34024,7538,21739
4,6556,47750,s26766,441,9467,19567,8814,35620,37700,6270,s26843,s17576,574,2794,2344,32274,22920,42790,38043,19459,48592,49554,38505
5,23982,34094,s14723,29,43158,4790,13612,5361,23552,34480,s33248,s29138,44274,20027,6379,38745,33200,9061,39104,22209,2058,23873,27197
6,44305,3264,s9058,11111,13162,24964,48627,5846,2499,7890,s26852,s19842,19249,49390,49463,4219,47554,11174,36371,19656,34069,2605,32757
7,5859,23803,s23503,6400,14907,28381,10720,44835,24833,49420,s41590,s40528,47670,553,30949,27119,17027,27227,7547,6658,13772,29544,30431
8,17390,8902,s21359,34740,2071,42833,48577,42379,536,32248,s13321,s12490,5582,47616,31697,18191,24759,24220,13741,19115,42846,41998,14230
9,19835,25615,s14023,31231,3945,1042,47097,49483,10274,31388,s4143,s17443,7845,32695,7073,21110,31717,24364,47141,18392,2555,24685,46851
10,18495,35125,s4468,3742,5482,25256,18060,30547,8952,23279,s43075,s1083,8444,1415,4838,48269,42244,32939,40955,22890,8480,29622,47280
11,12247,6510,s1304,47127,36710,14050,36673,36473,8334,17794,s29914,s34053,20099,22076,10185,16860,6863,16328,6595,46146,23889,39846,33527
12,36615,28003,s35148,18116,29295,47593,18405,13575,27547,31023,s24471,s3130,39248,580,23535,11973,30644,1004,30048,32018,19329,42339,24814
13,24849,44869,s14437,37552,43639,30292,13433,13312,34393,16066,s48011,s16281,11664,18778,39108,36664,36856,49288,10813,34425,20440,589,31701
14,7932,33439,s9895,12389,7572,3238,41710,614,5741,16098,s15868,s14206,32207,34225,46200,36776,47452,1522,4686,4034,10280,33769,17149
15,29772,48849,s18560,20669,34641,47066,1853,3606,10959,28501,s10080,s46920,1674,10474,44764,18923,38605,37499,15265,44459,2879,6303,15616
16,31642,27678,s4992,46957,42820,38921,16580,21333,22414,4702,s23637,s24414,37849,1187,2398,47728,47640,24729,16161,32629,40824,38794,30936
17,6402,7909,s35210,25172,27808,21553,35421,34976,35446,39818,s41853,s7229,46365,36621,16804,21951,8336,42627,37926,14235,2412,24368,26517
18,29025,38459,s32180,2794,1256,5290,23466,28470,6098,5854,s44187,s30287,39176,27193,20134,11746,10991,11608,38208,28194,20776,46604,32159
19,45884,3634,s28462,16511,16014,22421,28689,11456,39592,27605,s21203,s4941,12377,45556,4544,10633,3554,4150,47440,32942,36215,28251,35731
20,40709,22783,s40029,11415,10653,34781,42077,49753,1150,47192,s42219,s15141,24514,26105,44950,10665,27244,48407,49135,23126,42197,36842,19425
21,15985,9382,s47925,48913,16542,25156,16989,262,11141,1663,s32195,s43710,38615,25099,33052,43406,8016,17735,32141,46188,13323,26240,24347
22,19417,40245,s42494,34493,43496,7191,37869,22653,21531,36727,s18776,s38217,38197,38054,12887,45446,25996,23644,6696,14465,29757,20262,21234
23,34290,17177,s33626,41768,37269,4942,26649,33299,25973,860,s33719,s29583,39167,4958,32479,36445,13251,44049,3605,6,33044,1696,40686
24,42391,33623,s3495,32105,20507,8889,48975,24029,41599,30486,s32848,s43710,29180,4951,19118,18790,23391,9157,630,21776,46535,39168,49490
25,21339,15552,s21569,18303,9285,18831,8083,4859,44568,6304,s2920,s7933,9793,21346,2361,41207,4478,49048,46617,15510,12967,8841,21898
26,42215,15263,s43848,1706,34481,10819,20183,32170,39516,23400,s48686,s41028,40455,15352,7610,32335,14914,14935,8105,19376,25714,23495,47843
27,26883,5883,s36648,31806,16886,47616,21355,31627,14484,13849,s29714,s14969,34237,49192,43975,32572,15564,1625,49653,9487,41349,1644,20369
28,27671,45204,s18797,26484,31845,5304,3309,13436,39359,47453,s32159,s14764,43916,30381,32319,43602,19479,35635,31777,22941,36749,31668,11053
29,43875,44197,s40036,1839,26042,38857,936,38315,49311,30443,s34026,s5694,34734,37519,32157,19579,1147,12136,5059,14442,12941,23463,10482
30,33194,2267,s29775,41345,6331,29675,1289,45693,37081,23819,s47037,s12966,17469,42572,33135,11706,36675,15143,18986,4404,42308,41498,4037
