1: 1;10007;1;PA;0;0;0;0;0;0;0;01 - ADAIR;Public Assistance (Unspecified);0;0;0;0;0;0;0;0;0;0;0

2: 2;34000;1;PA;4;2;0;2;2;3;0;01 - ADAIR;Health Dept. Print;0;0;0;1;0;0;0;0;0;0;0

3: 3;34001;1;PA;0;0;0;0;0;0;0;01 - ADAIR;Health Dept. Web;0;0;0;0;0;0;0;0;0;0;0

6: 6;83000;1;PA;14;10;1;2;4;6;0;01 - ADAIR;Dept. of Human Services Print;0;0;7;7;3;3;3;4;0;0;0

7: 7;83001;1;PA;2;3;0;0;0;0;0;01 - ADAIR;Dept. of Human Services Web;0;0;1;1;1;1;0;1;0;0;0

8: 8;10007;2;PA;0;0;0;0;0;0;0;02 - ALFALFA;Public Assistance (Unspecified);0;0;0;0;0;0;0;0;0;0;0

9: 9;34000;2;PA;0;0;0;0;0;0;0;02 - ALFALFA;Health Dept. Print;0;0;0;0;0;0;0;0;0;0;0

10: 10;34001;2;PA;0;0;0;0;0;0;0;02 - ALFALFA;Health Dept. Web;0;0;0;0;0;0;0;0;0;0;0

11: 11;80700;2;PA;0;0;0;0;0;0;0;02 - ALFALFA;Health Care Authority Print;0;0;0;0;0;0;0;0;0;0;0

Base Capacity: 23; Total Capacity: 23;  Load Factor: 0.434783
Data lines read: 12; Valid NVRA records read: 10; NVRA records in memory: 10
